trial,status,valid_loss,best_epoch,stopped_epoch,final_lr,latent_dim,koopman_dim,lrelu_alpha,dropout_rate,regularize_coef,low_rank,learning_rate,error
41,ok,5.588325023651123,628,928,3.5687493408195913e-06,32,32,0.026633918186618304,0.44719988910728725,6.477668178569315e-05,0.9918769155587178,0.0003568749340819591,
42,ok,5.060539722442627,865,1000,1.0457982052465712e-06,256,16,0.00019032541585472447,0.374934785891543,0.0,0.9061095000389421,1.0457982052465712e-05,
43,ok,2.363323926925659,714,1000,1e-06,256,256,0.004101524686568618,0.2924443509966372,0.0004912083192992958,0.9678623264804753,0.00011166487997197747,
44,ok,5.312695503234863,934,1000,1.4394079022726112e-05,128,32,0.036747764090025746,0.21561051231602207,3.677047267741816e-05,0.935816186162753,1.4394079022726112e-05,
45,ok,1.398941159248352,655,955,2.949783905455896e-06,32,32,0.004374220409845665,0.1282398373157977,1.622286327482381e-05,0.9640356271304632,0.0029497839054558952,
46,ok,5.866218566894531,990,1000,2.370683520187888e-05,64,64,0.00045030321951051403,0.18901598215714877,0.0,0.9545844871052799,2.370683520187888e-05,
47,ok,1.1914607286453247,930,1000,1.6872543104464657e-05,512,128,0.002187312308242782,0.3399647415550011,0.0,0.9876778926318194,0.00016872543104464656,
48,ok,6.313133716583252,534,834,1e-06,128,128,0.07716274240988347,0.27140453684989585,0.006462324455092848,0.993038209117617,1.056913920910446e-05,
49,ok,0.8677270412445068,718,1000,1.2205674612961204e-06,128,64,0.0003088613243984454,0.1284409560359519,0.0,0.9783382401620965,0.00122056746129612,
50,ok,2.6942312717437744,993,1000,1.2520964629948776e-05,512,64,0.00016559738790500748,0.04232156841653506,0.06955562860016141,0.9868026418690374,1.2520964629948776e-05,
51,ok,5.301206111907959,941,1000,1e-06,64,16,0.00011231989932773393,0.4219773428462039,0.0,0.9330263772882831,2.5006261226523235e-05,
52,ok,5.649526596069336,1000,1000,1.6770396815668524e-05,64,64,0.0018270950839541565,0.2649038303733937,0.000169017319236846,0.9033584396841366,1.6770396815668524e-05,
53,ok,0.6403772830963135,843,1000,1e-06,512,256,0.09772582316709215,0.10305241603279164,0.03032440825662078,0.9534880888024253,0.0003039765739858044,
54,ok,1.3243248462677002,172,472,6.8377967134430984e-06,256,128,0.07155730426307907,0.010240892533155299,2.5201510793764387e-05,0.9884369791144434,0.0006837796713443098,
55,ok,5.27569055557251,830,1000,1e-06,128,64,0.0007326469214863469,0.4125101689353767,0.0009142398138873502,0.9771707675432154,8.945615473380774e-05,
56,ok,0.8956565260887146,713,1000,1e-06,256,16,0.0006148748498211989,0.3647253320736463,0.4103420536560191,0.9333690621156033,0.0021533103347910316,
57,ok,0.872394859790802,932,1000,5.379671009462348e-05,256,128,0.0866541896533294,0.30098335339571813,0.0,0.9081538020602392,0.0005379671009462348,
